name	first_year	episode_name	season	episode_number	star_1	star_2	star_3	star_4	star_5	star_6	star_7	star_8	star_9	star_10
A Traveler_s Guide to the Planets 2010	2010	Mars	1	4	0	0	0	0	0	1	1	0	1	0
A Traveler_s Guide to the Planets 2010	2010	Neptune _ Uranus	1	5	0	0	0	0	0	2	2	0	0	0
A Traveler_s Guide to the Planets 2010	2010	Saturn	1	2	0	0	0	0	0	2	0	3	0	0
A Traveler_s Guide to the Planets 2010	2010	Venus _ Mercury	1	3	0	0	0	0	0	1	1	1	0	0
Above Suspicion 2_ The Red Dahlia 2010	2010	Unnamed	1	1	0	0	0	0	1	4	9	6	4	1
Above Suspicion 2_ The Red Dahlia 2010	2010	Unnamed	1	2	0	1	0	0	0	3	8	8	3	1
Above Suspicion 2_ The Red Dahlia 2010	2010	Unnamed	1	3	0	1	0	0	0	1	9	6	3	3
Accused 2010	2010	Alison_s Story	1	6	2	0	2	0	2	6	10	14	6	2
Accused 2010	2010	Frankie_s Story	1	2	4	4	4	4	4	4	12	20	20	12
Accused 2010	2010	Helen_s Story	1	3	3	0	3	0	3	3	10	24	10	10
Accused 2010	2010	Kenny_s Story	1	5	0	0	0	0	2	6	10	14	6	6
Accused 2010	2010	Liam_s Story	1	4	0	0	0	0	3	3	10	24	17	10
Accused 2010	2010	Mo and Sue_s Story	2	2	4	0	4	0	4	4	4	20	20	20
Accused 2010	2010	Stephen_s Story	2	3	3	0	0	0	3	3	3	24	17	17
Accused 2010	2010	Tina_s Story	2	4	0	0	0	0	0	0	0	7	3	2
Accused 2010	2010	Tracie_s Story	2	1	7	7	7	7	7	7	7	37	51	37
Accused 2010	2010	Willy_s Story	1	1	4	0	0	4	4	4	22	30	13	13
Adventure Time with Finn _ Jake 2010	2010	A Glitch Is a Glitch	5	15	15	5	5	0	5	5	5	15	15	45
Adventure Time with Finn _ Jake 2010	2010	All Your Fault	5	9	9	0	0	0	3	3	3	23	9	23
Adventure Time with Finn _ Jake 2010	2010	All the Little People	5	5	15	0	0	0	0	5	5	5	25	45
Adventure Time with Finn _ Jake 2010	2010	Another Five More Short Graybles	5	24	9	0	0	0	0	3	9	9	9	22
Adventure Time with Finn _ Jake 2010	2010	Another Way	3	23	10	3	3	0	3	3	3	17	10	24
Adventure Time with Finn _ Jake 2010	2010	Apple Thief	3	11	10	0	0	3	3	10	17	10	3	10
Adventure Time with Finn _ Jake 2010	2010	BMO Lost	5	17	16	0	0	0	5	5	5	16	16	37
Adventure Time with Finn _ Jake 2010	2010	BMO Noire	4	17	13	0	0	0	0	4	13	13	13	32
Adventure Time with Finn _ Jake 2010	2010	Bad Little Boy	5	11	8	0	8	0	8	8	8	24	40	72
Adventure Time with Finn _ Jake 2010	2010	Be More	5	28	10	0	0	0	0	3	3	10	16	16
Adventure Time with Finn _ Jake 2010	2010	Beautopia	3	14	9	0	0	0	3	3	16	22	9	16
Adventure Time with Finn _ Jake 2010	2010	Belly of the Beast	2	21	14	0	0	4	0	4	4	23	23	33
Adventure Time with Finn _ Jake 2010	2010	Beyond This Earthly Realm	4	11	9	3	0	0	3	3	9	21	9	9
Adventure Time with Finn _ Jake 2010	2010	Blood Under the Skin	2	4	4	0	4	4	4	4	20	28	4	20
Adventure Time with Finn _ Jake 2010	2010	Box Prince	5	37	11	0	2	0	2	7	7	7	2	7
Adventure Time with Finn _ Jake 2010	2010	Burning Low	4	16	15	0	5	0	5	0	5	15	15	46
Adventure Time with Finn _ Jake 2010	2010	Business Time	1	8	5	5	0	0	5	5	17	39	17	28
Adventure Time with Finn _ Jake 2010	2010	Candy Streets	5	25	8	0	0	0	0	2	14	14	8	8
Adventure Time with Finn _ Jake 2010	2010	Card Wars	4	14	17	0	0	0	0	5	5	17	17	41
Adventure Time with Finn _ Jake 2010	2010	City of Thieves	1	13	5	5	0	0	5	5	17	41	17	29
Adventure Time with Finn _ Jake 2010	2010	Conquest of Cuteness	3	1	10	0	3	3	3	3	18	18	3	18
Adventure Time with Finn _ Jake 2010	2010	Crystals Have Power	2	8	10	0	3	3	3	3	17	17	10	10
